Accident_ID,Year,Month,Day,HHMM,Lum,Localization,Type_of_Intersection,ATM_Conditions,Type_of_Colision,Postal_Adress,GPS_Coding,Deparment,Latitud/Longitud
201700000001,17,4,2,1045,1,1,2,1,3,Rte de Lederzeele,M,590,"50.84579,2.26407"
201700000002,17,4,29,1545,1,1,1,1,1,,M,590,"50.68,2.793"
201700000003,17,6,1,1530,1,2,1,2,3,RUE JEAN MERMOZ,M,590,"50.641,2.712"
201700000004,17,10,18,745,2,1,1,1,6,,M,590,"50.708,2.765"
201700000005,17,3,10,400,3,2,1,1,6,Rue de Sec Bois,M,590,"50.70266,2.62094"
201700000006,17,6,27,1545,1,1,1,1,1,Route Nationale,M,590,"50.78535,2.53023"
201700000007,17,9,27,2100,5,2,2,1,3,rue de lille,M,590,"50.60979,3.22963"
201700000008,17,1,22,1130,1,1,2,1,3,COMINES ROUTE DE,M,590,"50.74146,2.96661"
201700000009,17,4,2,815,1,2,8,1,3,"153, WARNETON RUE DE",M,590,"50.71633,2.99358"
201700000010,17,4,2,200,3,1,1,1,2,,M,590,"50.71359,2.93964"
201700000011,17,5,30,1145,1,1,6,2,2,"11, COMINES ROUTE",M,590,"50.73736,2.95811"
201700000012,17,8,9,1345,1,2,6,1,3,rue au vent,M,590,"50.71258,2.9323"
201700000013,17,9,10,530,3,1,1,1,1,,M,590,"50.70937,2.94594"
201700000014,17,12,24,530,5,1,1,1,6,,M,590,"50.72661,2.97364"
201700000015,17,4,4,1530,1,1,1,1,1,Route Nationale,M,590,"50.26022,3.32324"
201700000016,17,2,4,2115,5,2,1,1,6,Grande rue,M,590,"50.1285,3.83819"
201700000017,17,2,7,615,5,2,1,2,6,rue de Landrecies,M,590,"50.07517,3.68177"
201700000018,17,6,20,1500,1,2,1,3,6,203 Rue de la République,M,590,"50.13195,3.40272"
201700000019,17,2,11,645,2,2,1,1,7,RUE JEAN SIMON DUMONT,M,590,"50.267,3.164"
201700000020,17,7,2,1400,1,2,1,1,6,404 Rue Jules Domise,M,590,"50.26763,3.22428"
201700000021,17,8,28,2000,2,2,1,1,3,rue André Joseph LEGLAY,M,590,"50.288,3.126"
201700000022,17,12,17,2100,5,2,1,2,1,rue volckcrick,M,590,"50.27,3.211"
201700000023,17,12,21,500,3,1,6,1,7,,M,590,"50.312,3.13"
201700000024,17,12,27,1015,1,2,6,1,3,rue Jean Jaurès,M,590,"50.309,3.208"
201700000025,17,7,9,2100,1,2,1,1,2,rue du stade,M,590,"50.494,3.4"
201700000026,17,3,17,1945,3,1,1,1,5,Route départementale,M,590,"50.30514,3.77363"
201700000027,17,12,23,245,3,1,1,9,6,,M,590,"50.177,3.5"
201700000028,17,3,7,1745,1,1,1,4,4,Chaussée Brunehaut,M,590,"50.2523,3.72818"
201700000029,17,12,13,1745,3,1,1,8,5,,M,590,"50,0"
201700000030,17,7,11,1330,1,1,1,1,6,,M,620,"50.21711,3.06276"
201700000031,17,9,14,1700,1,1,1,7,1,,M,620,"50.23815,2.97984"
201700000032,17,6,25,1430,1,1,1,1,2,,M,620,"50.64123,1.6658"
201700000033,17,6,10,1800,1,2,3,1,3,rue d'hermies,M,620,"50.10858,3.08254"
201700000034,17,7,24,1945,1,2,2,1,3,PRETRES - POSTE,M,620,"50.11314,3.03713"
201700000035,17,8,29,845,1,2,1,1,3,19A rue principale D11E1,M,620,"50.02892,2.8738"
201700000036,17,6,7,930,1,2,1,1,6,9 RUE NEUVE,M,620,"50.12353,2.63517"
201700000037,17,6,7,1715,1,2,1,3,7,D6,M,620,"50.17442,2.46665"
201700000038,17,7,15,1145,1,1,1,1,7,,M,620,"50.23149,2.70897"
201700000039,17,8,6,2115,2,1,1,1,6,,M,620,"50.20825,2.59721"
201700000040,17,11,21,1800,5,2,1,1,6,20 rue de neuville,M,620,"50.23197,2.74658"
201700000041,17,11,21,1700,2,1,2,1,3,,M,620,"50.21893,2.76027"
201700000042,17,11,30,1415,1,2,1,1,3,route d'ierville,M,620,"50.13853,2.70921"
201700000043,17,1,19,1145,1,2,1,7,6,,M,620,"50.2491,3.06829"
201700000044,17,8,3,245,3,1,1,2,6,,M,620,"50.15246,2.82882"
201700000045,17,9,7,1700,1,2,1,7,7,,M,620,"50.22725,3.10897"
201700000046,17,1,5,1230,1,1,1,1,7,,M,620,"50.39645,2.69686"
201700000047,17,1,24,615,1,1,1,2,7,,M,620,"50.33467,2.83834"
201700000048,17,6,1,1530,1,1,1,1,1,,M,620,"50.34514,2.69425"
201700000049,17,7,4,715,1,2,1,2,6,62 rue Carnot,M,620,"50.38965,2.74233"
201700000050,17,12,25,1830,3,1,1,2,6,,M,620,"50.39649,2.79314"
201700000051,17,1,17,2130,3,1,1,1,5,,M,620,"50.17315,2.82309"
201700000052,17,5,19,1500,1,1,1,8,7,D 37E1,M,620,"50.26504,2.82902"
201700000053,17,5,26,1900,1,2,6,1,6,,M,620,"50.2675,3.09935"
201700000054,17,11,22,945,3,1,1,1,2,,M,620,"50.19899,3.13344"
201700000055,17,12,10,1845,3,1,1,9,1,,M,620,"50.2621,2.88529"
201700000056,17,7,1,900,1,1,1,1,1,rue Nobled,M,620,"50.32498,2.99557"
201700000057,17,7,26,1030,1,1,1,1,6,,M,620,"50.33287,2.90832"
201700000058,17,10,14,1700,1,1,6,1,3,,M,620,"50.33668,3.00917"
201700000059,17,11,14,445,3,1,1,8,2,,M,620,"50.33372,2.96179"
201700000060,17,11,28,745,2,2,1,1,2,rue des Colombiers,M,620,"50.32858,2.97896"
201700000061,17,3,3,830,1,1,1,1,6,,M,620,"50.61251,2.40074"
201700000062,17,4,10,515,2,2,1,1,1,Rue FOCH,M,620,"50.61652,2.49261"
201700000063,17,5,8,1900,1,2,1,1,1,Rue du coupe gueule,M,620,"50.61131,2.36971"
201700000064,17,8,6,600,1,1,1,1,6,,M,620,"50.5583,2.60694"
201700000065,17,8,21,1215,1,2,1,2,1,rue de thérouanne,M,620,"50.59551,2.31762"
201700000066,17,3,7,1715,1,1,1,8,6,,M,620,"50.63794,2.82823"
201700000067,17,4,22,1815,1,1,1,1,4,,M,620,"50.632,2.772"
201700000068,17,8,12,2230,3,1,1,1,1,,M,620,"50.5698,2.77945"
201700000069,17,11,3,1800,2,1,1,1,2,,M,620,"50.595,2.764"
201700000070,17,11,21,800,2,1,1,1,6,,M,620,"50.642,2.811"
201700000071,17,12,6,745,2,2,1,1,6,668 rue de bruges,M,620,"50.65619,2.78814"
201700000072,17,3,13,1330,1,1,1,1,1,2540,M,620,"50.68154,1.80471"
201700000073,17,7,30,1200,1,2,1,1,3,36 route de samer D127E4,M,620,"50.61798,1.83044"
201700000074,17,4,1,2315,3,1,1,1,6,,M,620,"50.77575,1.72825"
201700000075,17,4,10,1330,1,1,1,7,7,,M,620,"50.76816,1.66703"
201700000076,17,4,15,1645,1,1,2,8,4,,M,620,"50.80954,1.7787"
201700000077,17,7,3,1530,1,1,1,1,2,,M,620,"50.90452,1.68739"
201700000078,17,7,16,1930,1,1,1,1,5,rue e. quenu,M,620,"50.82368,1.69693"
201700000079,17,9,3,1330,1,1,1,1,3,,M,620,"50.82898,1.7553"
201700000080,17,10,23,1915,2,1,1,1,3,,M,620,"50.83585,1.63611"
201700000081,17,3,7,830,1,1,1,4,1,,M,620,"50.67753,1.58255"
201700000082,17,4,17,1400,1,1,1,1,5,,M,620,"50.63543,1.64473"
201700000083,17,12,12,2030,3,1,1,1,1,,M,620,"50.60794,1.63243"
201700000084,17,4,29,1015,1,1,1,1,1,,M,620,"50.43543,2.68823"
201700000085,17,5,4,1945,1,1,3,7,1,,M,620,"50.40504,2.6319"
201700000086,17,5,5,1030,1,2,1,7,7,RUE ROUANEL,M,620,"50.4377,2.55002"
201700000087,17,5,26,1545,1,1,1,1,1,,M,620,"50.43661,2.66594"
201700000088,17,7,28,1730,1,1,1,1,3,,M,620,"50.42766,2.56116"
201700000089,17,10,9,345,5,2,1,1,3,rue de la mairie,M,620,"50.40897,2.64217"
201700000090,17,10,12,845,1,2,1,1,6,"rue Victor HUGO, D 188",M,620,"50.45134,2.63813"
201700000091,17,11,6,1800,3,1,1,1,2,,M,620,"50.44119,2.64861"
201700000092,17,6,29,530,1,2,1,1,7,CD939,M,620,"50.50084,1.69175"
201700000093,17,9,21,2045,3,1,1,1,6,,M,620,"50.46792,1.72762"
201700000094,17,6,30,1000,1,2,1,3,6,PLACE GENERAL DE GAULLE,M,620,"50.51336,2.13438"
201700000095,17,12,3,1830,3,1,1,1,1,,M,620,"50.391,1.852"
201700000096,17,6,9,1545,1,1,1,1,3,,M,620,"50.56319,1.60832"
201700000097,17,10,8,1930,5,2,1,1,3,Avenue de Rombly,M,620,"50.51914,1.65263"
201700000098,17,10,31,1430,1,2,1,1,6,76 bd de l imperatrice,M,620,"50.51284,1.63617"
201700000099,17,1,31,1645,1,2,1,2,1,,M,620,"50.38209,1.9864"
201700000100,17,5,29,1400,1,2,1,1,6,rue de widance,M,620,"50.40231,1.95488"
201700000101,17,2,1,1430,1,1,1,6,1,,M,620,"50.63854,2.3724"
201700000102,17,3,4,845,1,2,1,1,6,1753 rue de Warnes,M,620,"50.66079,2.35111"
201700000103,17,4,26,2030,1,1,1,1,6,,M,620,"50.63352,2.33458"
201700000104,17,5,29,1715,1,2,1,1,2,rue de l'industrie,M,620,"50.63946,2.41387"
201700000105,17,5,27,1800,1,2,1,1,2,12 rue principale,M,620,"50.64055,2.37936"
201700000106,17,10,31,600,5,2,1,5,6,CD943,M,620,"50.69175,2.36163"
201700000107,17,12,13,1730,3,1,1,1,1,,M,620,"50.67508,2.26861"
201700000108,17,12,15,1845,5,2,1,1,6,boulevard clémenceau,M,620,"50.64271,2.39789"
201700000109,17,7,18,1515,1,2,1,1,6,rue de licques,M,620,"50.78184,1.9887"
201700000110,17,1,14,1100,1,2,2,1,3,avenue Paul MACHY,M,620,"50.98005,2.05705"
201700000111,17,2,13,1530,1,2,1,2,6,595 rue georges mauffait,M,620,"50.87464,2.08359"
201700000112,17,2,23,1000,1,1,2,1,3,,M,620,"50.9045,2.13449"
201700000113,17,11,3,1030,1,2,1,1,2,rue du communal,M,620,"50.84352,2.11443"
201700000114,17,11,16,1330,1,1,1,1,3,,M,620,"50.83753,2.01821"
201700000115,17,12,27,1830,3,2,1,8,1,480 avenue des jonquille,M,620,"50.91155,1.99296"
201700000116,17,5,16,600,2,2,1,1,6,rue basse boulogne,M,620,"50.58827,2.24959"
201700000117,17,9,11,930,1,1,1,1,6,,M,620,"50.64576,2.11773"
201700000118,17,7,10,1715,1,1,1,1,5,,M,620,"50.72698,1.91392"
201700000119,17,3,19,1215,1,2,1,1,3,rue de la calandre,M,620,"50.38339,2.3335"
201700000120,17,4,4,145,3,2,1,3,6,36 rue d'Aire,M,620,"50.47815,2.27237"
201700000121,17,4,13,1645,1,1,1,1,2,,M,620,"50.38327,2.32433"
201700000122,17,4,16,200,5,2,1,1,1,Place Ml LECLERC CD941,M,620,"50.38117,2.33574"
201700000123,17,4,15,2115,3,1,1,2,1,,M,620,"50.5045,2.31179"
201700000124,17,4,17,1115,1,1,1,1,3,,M,620,"50.42827,2.43873"
201700000125,17,6,6,1700,1,2,1,1,6,place louis lebel,M,620,"50.38178,2.33586"
201700000126,17,7,8,1230,1,2,1,1,3,D 104 PR 25 + 400,M,620,"50.43041,2.17241"
201700000127,17,7,29,1300,1,2,1,1,1,RD8,M,620,"50.36494,2.38799"
201700000128,17,9,10,1045,1,1,1,1,6,,M,620,"50.43903,2.37041"
201700000129,17,9,13,2000,2,1,1,1,1,,M,620,"50.4379,2.31791"
201700000130,17,9,14,1830,1,2,3,1,1,88 rue de Laires,M,620,"50.51755,2.22933"
201700000131,17,9,18,1600,1,1,1,2,5,,M,620,"50.738,2.615"
201700000132,17,9,29,2145,3,1,1,2,6,,M,620,"50.37609,2.30046"
201700000133,17,11,1,1815,2,1,1,1,3,,M,620,"50.38686,2.24794"
201700000134,17,11,4,1300,1,1,1,1,3,,M,620,"50.37949,2.34032"
201700000135,17,12,12,1200,1,1,1,1,3,,M,620,"50.423,2.386"
201700000136,17,12,24,900,1,1,1,1,7,,M,620,"50.44347,2.37785"
201700000137,17,2,27,1615,1,1,1,1,7,,M,620,"50.25907,2.4907"
201700000138,17,2,29,700,1,1,1,9,6,,M,620,"50.27036,2.40308"
201700000139,17,7,10,1900,1,1,1,1,6,,M,620,"50.36528,2.55533"
201700000140,17,7,31,845,1,1,2,1,1,,M,620,"50.38909,2.62265"
201700000141,17,9,5,715,1,1,1,2,7,,M,620,"50.2298,2.36257"
201700000142,17,11,14,630,3,1,1,5,6,,M,620,"50.43199,2.50779"
201700000143,17,11,28,915,1,1,1,1,1,,M,620,"50.35155,2.45045"
201700000144,17,12,2,1930,5,2,1,8,3,rue de faune,M,620,"50.20516,2.53364"
201700000145,17,12,29,45,3,1,1,5,6,,M,620,"50.28724,2.53958"
201700000146,17,4,16,1445,1,1,1,1,6,,M,620,"50.33273,2.63768"
201700000147,17,7,10,1800,1,1,1,1,6,,M,620,"50.34508,2.58257"
201700000148,17,7,9,1430,1,2,1,1,6,rue principale,M,620,"50.26369,2.36958"
201700000149,17,9,27,1700,1,2,1,1,3,"95, Rte du TREPORT",M,800,"49.89177,1.71651"
201700000150,17,9,29,1415,1,2,1,1,6,23 ter GENERAL LECLERC,M,800,"49.88409,2.01978"
201700000151,17,5,13,1800,1,1,1,1,6,RD 113,M,800,"50.00521,2.3371"
201700000152,17,8,31,1630,1,1,1,1,1,RD 40,M,800,"50.12513,1.80144"
201700000153,17,2,23,2130,3,1,1,5,6,RD 940,M,800,"50.17462,1.68118"
201700000154,17,4,12,1630,1,1,1,1,1,RD 940,M,800,"50.17968,1.58727"
201700000155,17,6,25,1500,1,2,2,1,3,VC N°6,M,800,"50.15432,1.60979"
201700000156,17,8,2,1230,1,1,8,2,3,VC (rue des canadiens),M,800,"50.17586,1.62009"
201700000157,17,10,29,915,1,1,1,8,1,CH DE HALAGE,M,800,"50.1722,1.65806"
201700000158,17,8,27,1400,1,2,1,1,3,CARR RD47/VC306,M,800,"50.05199,2.53259"
201700000159,17,7,3,2300,5,2,1,1,6,RUE DU GENERAL LECLERC,M,800,"50.0416,2.11683"
201700000160,17,1,8,900,1,2,1,1,6,Route de bray,M,800,"49.98335,2.67334"
201700000161,17,1,14,815,5,2,1,3,6,Rte de BRAY-SUR-SOMME,M,800,"49.98436,2.67231"
201700000162,17,1,22,1815,5,2,1,2,3,120 AV GENERAL FAIDHERBE,M,800,"50.00676,2.66285"
201700000163,17,2,26,1945,5,2,1,1,7,"55, Av Général Leclerc",M,800,"50.00097,2.64145"
201700000164,17,3,16,1715,1,2,1,1,3,RUE Aristide BRIAND,M,800,"50.00333,2.63998"
201700000165,17,4,19,1230,1,1,1,1,6,RD 50,M,800,"50.04205,2.65794"
201700000166,17,5,11,1200,1,2,1,1,3,av du général faidherbe,M,800,"50.00603,2.66139"
201700000167,17,5,24,1415,1,2,1,1,6,85 AV DE LA REPUBLIQUE,M,800,"50.0043,2.65699"
201700000168,17,5,25,2300,5,2,6,1,3,route de bray,M,800,"49.99323,2.65726"
201700000169,17,6,10,1900,2,1,1,1,6,D151,M,800,"50.06687,2.69867"
201700000170,17,8,28,1145,1,1,1,1,3,RD 151,M,800,"50.03458,2.66614"
201700000171,17,10,14,1745,1,1,1,2,7,route de Pozières,M,800,"50.01007,2.71405"
201700000172,17,12,31,2030,3,1,1,5,6,D91,M,800,"49.99964,2.59458"
201700000173,17,2,19,1645,1,2,1,1,2,rue Fontaine minérale,M,20,"49.52477,3.66483"
201700000174,17,2,15,1245,1,1,1,1,1,,M,20,"49.51246,3.43"
201700000175,17,2,19,1845,5,2,1,1,6,Rue du 7° BCA,M,20,"49.4893,3.44609"
201700000176,17,11,17,1830,1,2,3,1,6,rue jules lefebvre,M,20,"49.19971,3.51393"
201700000177,17,3,3,1700,1,2,3,2,1,Rue de Saint-Quentin,M,20,"49.98223,3.45277"
201700000178,17,9,23,2345,5,2,1,1,6,,M,20,"49.96356,3.18734"
201700000179,17,11,19,600,3,2,1,1,6,21 rue du pont araby,M,20,"49.41023,3.13601"
201700000180,17,2,22,915,1,2,4,1,2,,M,20,"49.40835,3.51107"
201700000181,17,4,18,815,1,2,1,1,6,AVENUE DE COMPIEGNE,M,20,"49.25664,3.08494"
201700000182,17,5,1,1445,1,2,1,1,3,"2, rue de verdun",M,20,"49.17802,3.12734"
201700000183,17,3,27,1630,1,1,1,2,7,,M,20,"49.87574,3.92647"
201700000184,17,7,24,15,3,2,3,1,6,rue Charles de Gaulle,M,20,"50.00809,3.60745"
201700000185,17,10,29,1700,1,2,3,1,3,,M,20,"49.99326,3.65588"
201700000186,17,6,4,1945,1,2,3,1,3,route de la sablonnière,M,20,"49.80455,4.05527"
201700000187,17,8,4,1630,1,2,1,1,6,avenue Joffre,M,20,"49.93046,4.07422"
201700000188,17,10,18,1415,1,2,9,1,6,rue du haut rouet,M,20,"49.93078,4.07934"
201700000189,17,12,3,500,5,2,3,1,6,2 rue alexandre dumas,M,20,"49.92523,4.07698"
201700000190,17,2,2,1600,1,1,1,1,3,,M,600,"49.4595,2.21257"
201700000191,17,2,26,2315,3,1,1,1,7,,M,600,"49.38216,2.25041"
201700000192,17,4,21,1845,1,1,1,1,7,,M,600,"49.3939,2.09918"
201700000193,17,5,3,1830,1,1,1,1,7,,M,600,"49.45146,2.21728"
201700000194,17,6,9,1230,1,1,1,1,2,,M,600,"49.45598,2.02141"
201700000195,17,6,9,1615,1,2,1,1,2,rue du général de gaulle,M,600,"49.42011,2.15253"
201700000196,17,6,10,2330,3,1,1,1,1,,M,600,"49.39538,2.10152"
201700000197,17,8,9,745,1,1,1,1,1,,M,600,"49.50423,2.08662"
201700000198,17,8,11,400,3,1,1,1,6,,M,600,"49.40763,2.05076"
201700000199,17,8,19,2215,5,2,6,1,7,hameau de l'alouette,M,600,"49.3803,2.23058"
201700000200,17,8,18,2315,3,1,1,1,2,,M,600,"49.42431,2.14392"
201700000201,17,8,28,1645,1,1,6,1,7,,M,600,"49.40057,2.13181"
201700000202,17,9,23,815,2,2,1,5,3,CD 981,M,600,"49.40642,2.04381"
201700000203,17,10,2,1245,1,1,1,1,6,,M,600,"49.39427,2.09935"
201700000204,17,11,26,530,3,1,1,2,2,,M,600,"49.5067,2.17031"
201700000205,17,12,23,1745,3,1,1,2,5,,M,600,"49.35502,2.03529"
201700000206,17,3,19,2115,1,1,1,1,2,,M,600,"49.30232,1.77787"
201700000207,17,4,1,2200,3,1,1,1,1,,M,600,"49.33132,1.90702"
201700000208,17,5,28,1400,1,1,1,2,3,,M,600,"49.3203,1.80463"
201700000209,17,5,30,900,1,1,1,2,1,,M,600,"49.28096,1.8513"
201700000210,17,7,21,1700,1,1,1,1,6,,M,600,"49.26198,1.88013"
201700000211,17,9,10,1900,1,1,1,1,5,,M,600,"49.1852,1.88426"
201700000212,17,9,18,1830,1,1,1,1,1,,M,600,"49.28808,1.79115"
201700000213,17,3,8,1115,1,2,1,1,6,Route de Sommereux,M,600,"49.66905,1.94947"
201700000214,17,12,27,2015,3,1,1,1,6,,M,600,"49.70641,1.96374"
201700000215,17,1,14,800,2,2,1,2,6,RD 1001 FACE 85 RN1,M,600,"49.3215,2.20204"
201700000216,17,5,19,1815,1,1,1,1,3,,M,600,"49.3497,2.18345"
201700000217,17,6,6,930,1,1,1,1,1,,M,600,"49.32837,2.21016"
201700000218,17,7,30,1915,1,2,1,1,3,RUE DE VILLERS,M,600,"49.35843,2.22217"
201700000219,17,8,26,1115,1,1,1,1,1,,M,600,"49.31584,2.25231"
201700000220,17,10,2,1900,2,2,1,1,7,route nationale 1,M,600,"49.38643,2.14547"
201700000221,17,11,28,1330,1,2,1,1,6,place  l'hotel de ville,M,600,"49.3292,2.2005"
201700000222,17,12,15,1445,1,2,1,1,6,RUE DE CALAIS,M,600,"49.33047,2.19974"
201700000223,17,1,14,1030,1,1,1,2,7,,M,600,"49.38619,2.42812"
201700000224,17,3,7,800,1,2,1,8,6,31 rue du général de Gau,M,600,"49.37885,2.41337"
201700000225,17,5,15,1230,1,1,1,1,7,,M,600,"49.38286,2.32219"
201700000226,17,6,28,1745,1,1,1,1,3,,M,600,"49.41524,2.30324"
201700000227,17,9,1,900,1,1,1,1,1,,M,600,"49.34248,2.38396"
201700000228,17,5,5,2345,5,2,1,1,6,grande rue,M,600,"49.6032,2.2857"
201700000229,17,7,4,2215,3,1,1,1,7,,M,600,"49.65917,2.32955"
201700000230,17,9,4,15,5,2,1,1,6,rue de la vallée st andr,M,600,"49.57704,2.30488"
201700000231,17,2,27,30,3,1,9,1,1,,M,600,"49.32433,2.41454"
201700000232,17,6,21,845,1,2,1,3,2,Rue Jean Jaurès,M,600,"49.32562,2.44199"
201700000233,17,1,14,1800,3,1,1,2,1,,M,600,"49.30774,2.33917"
201700000234,17,1,27,1015,1,1,9,8,3,,M,600,"49.31443,2.33453"
201700000235,17,2,6,1000,1,1,9,1,3,,M,600,"49.32064,2.32936"
201700000236,17,6,16,1545,1,2,1,1,2,rue Eugène Moreau,M,600,"49.31424,2.31659"
201700000237,17,10,12,2230,3,1,1,1,7,,M,600,"49.35718,2.25023"
201700000238,17,11,16,800,2,2,1,8,3,route de clermont,M,600,"49.33328,2.33603"
201700000239,17,11,16,1445,1,1,1,1,1,,M,600,"49.29313,2.35379"
201700000240,17,11,24,1515,2,2,1,1,6,RUE DE MEHECOURT,M,600,"49.3545,2.24925"
201700000241,17,12,1,1745,3,1,1,9,7,,M,600,"49.31023,2.31826"
201700000242,17,12,13,1545,1,1,1,1,6,,M,600,"49.3081,2.31066"
201700000243,17,2,6,2000,3,1,1,6,5,,M,600,"49.51773,2.41772"
201700000244,17,2,27,1415,1,2,1,1,7,Rue de la Gare,M,600,"49.59145,2.53179"
